,city,latitude,longitude,Max_Temp,humidity,cloudness,wind speed,country,Date
360,muros,42.7762,-9.0603,82.09,50,0,5.21,ES,1659350724
361,atbasar,51.8,68.3333,75.49,54,69,8.21,KZ,1659350724
362,angul,20.85,85.1,92.19,57,100,2.1,IN,1659350724
363,koungou,-12.7336,45.2042,82.11,69,20,10.36,YT,1659350724
364,anadyr,64.75,177.4833,41.5,87,0,4.47,RU,1659350722
365,novopokrovka,49.8425,36.5477,84.58,35,96,11.7,UA,1659350725
366,cabo san lucas,22.8909,-109.9124,84.51,73,97,10.07,MX,1659350725
367,makakilo city,21.3469,-158.0858,77.32,71,75,11.5,US,1659350725
368,nara,34.6851,135.8049,90.91,38,78,3.49,JP,1659350709
369,mingshui,36.7167,117.5,84.88,69,0,2.19,CN,1659350725
370,isangel,-19.55,169.2667,73.9,88,56,13.94,VU,1659350725
371,turkistan,43.0,68.0,94.59,18,0,8.3,KZ,1659350725
372,diego de almagro,-26.3667,-70.05,49.06,65,0,2.39,CL,1659350725
373,manta,-0.95,-80.7333,69.58,94,100,9.22,EC,1659350725
374,vadum,57.1179,9.857,65.98,63,3,18.41,DK,1659350725
375,mecca,21.4267,39.8261,99.46,20,100,10.45,SA,1659350687
376,haines junction,60.7522,-137.5108,48.15,93,99,2.3,CA,1659350725
377,washington,47.5001,-120.5015,81.0,39,15,5.66,US,1659350673
378,faanui,-16.4833,-151.75,78.62,68,90,25.7,PF,1659350726
379,trelew,-43.249,-65.3051,43.18,88,100,6.13,AR,1659350726
380,mount gambier,-37.8333,140.7667,48.69,95,55,8.52,AU,1659350726
381,beringovskiy,63.05,179.3167,49.48,66,78,3.6,RU,1659350726
382,rozkishne,48.5074,39.3004,92.48,24,87,7.47,UA,1659350726
383,yangjiang,21.85,111.9667,83.55,75,32,6.76,CN,1659350726
384,tambo,-14.8,-73.9167,31.78,41,1,3.87,PE,1659350726
385,ayorou,14.7308,0.9174,87.73,48,92,14.29,NE,1659350726
386,polunochnoye,60.8697,60.4153,73.06,34,92,5.91,RU,1659350726
387,cockburn town,21.4612,-71.1419,82.2,78,94,17.56,TC,1659350726
388,micheldorf,46.9222,14.4405,82.47,47,32,0.65,AT,1659350726
389,koumac,-20.5667,164.2833,71.67,82,99,3.74,NC,1659350727
390,sharanga,57.1775,46.5396,73.87,41,46,6.91,RU,1659350727
391,mayo,38.8876,-76.5119,74.17,91,100,3.44,US,1659350727
392,matamoros,25.5333,-103.25,69.31,56,10,1.79,MX,1659350727
393,atambua,-9.1061,124.8925,73.56,83,100,2.86,ID,1659350727
394,raudeberg,61.9875,5.1352,56.07,72,7,11.16,NO,1659350727
395,lulea,65.5842,22.1547,64.47,82,20,6.91,SE,1659350727
396,porto velho,-8.7619,-63.9039,71.65,94,69,0.0,BR,1659350728
397,reo,12.3167,-2.4667,78.64,74,100,8.46,BF,1659350728
398,osakarovka,50.565,72.5692,73.8,52,100,10.65,KZ,1659350728
399,avera,33.194,-82.5271,71.65,69,5,5.39,US,1659350728
400,hami,42.8,93.45,94.89,20,65,17.65,CN,1659350728
401,arman,59.7,150.1667,57.02,95,100,6.85,RU,1659350728
402,sakakah,29.9697,40.2064,107.17,7,5,6.46,SA,1659350728
403,gaya,24.7833,85.0,87.71,84,75,0.0,IN,1659350729
404,miquelon,47.0975,-56.3814,66.2,90,3,11.59,PM,1659350729
405,la ronge,55.1001,-105.2842,46.62,93,20,0.0,CA,1659350729
406,burla,21.5,83.8667,92.14,64,100,2.8,IN,1659350729
407,conceicao do araguaia,-8.2578,-49.2647,78.15,54,42,1.25,BR,1659350730
408,santiago,-33.4569,-70.6483,49.86,77,75,2.3,CL,1659350450
409,richards bay,-28.783,32.0377,64.45,64,100,3.74,ZA,1659350730
410,ghatal,22.6667,87.7167,90.64,55,100,5.64,IN,1659350730
411,fairbanks,64.8378,-147.7164,57.81,89,100,5.75,US,1659350514
412,sao joao da barra,-21.6403,-41.0511,66.29,81,4,5.37,BR,1659350730
413,maarianhamina,60.0973,19.9348,73.26,40,0,10.36,AX,1659350727
414,dalvik,65.9702,-18.5286,48.13,97,100,6.78,IS,1659350730
415,fort nelson,58.8053,-122.7002,58.59,94,75,2.3,CA,1659350730
416,sairang,23.8,92.6667,81.77,95,100,1.03,IN,1659350730
417,sibolga,1.7427,98.7792,80.24,89,100,3.85,ID,1659350730
418,kurilsk,45.2333,147.8833,52.2,87,99,9.91,RU,1659350730
419,labuhan,-6.8844,112.2051,81.57,74,97,8.86,ID,1659350731
420,naryan-mar,67.6713,53.087,76.41,38,90,17.45,RU,1659350731
421,filingue,14.3521,3.3168,89.46,49,45,16.55,NE,1659350731
422,blackfoot,43.1905,-112.345,69.06,28,15,3.67,US,1659350731
423,mulanje,-16.0316,35.5,76.41,49,3,11.86,MW,1659350731
424,liverpool,53.4106,-2.9779,72.28,62,40,9.22,GB,1659350731
425,kiruna,67.8557,20.2251,65.32,52,75,5.75,SE,1659350731
426,zapolyarnyy,69.4154,30.8136,61.88,64,93,5.68,RU,1659350731
427,dauriya,49.9333,116.8667,75.07,54,3,6.67,RU,1659350731
428,zhmerynka,49.037,28.112,71.02,61,99,8.68,UA,1659350731
429,pacific grove,36.6177,-121.9166,63.25,90,0,3.44,US,1659350731
430,bjorkelangen,59.8848,11.5694,67.39,83,84,4.38,NO,1659350731
431,mutis,6.2262,-77.4044,76.55,89,99,5.95,CO,1659350732
432,fort wellington,6.4,-57.6,78.53,87,100,6.17,GY,1659350732
433,port keats,-14.25,129.55,72.01,84,48,6.62,AU,1659350732
434,amiens,49.9,2.3,70.05,61,100,4.38,FR,1659350681
435,sitges,41.2351,1.8119,99.14,50,0,4.0,ES,1659350447
436,honiara,-9.4333,159.95,77.83,86,12,8.05,SB,1659350732
437,klaksvik,62.2266,-6.589,54.52,75,89,14.07,FO,1659350433
438,reserva,-24.6503,-50.8506,53.69,76,5,0.89,BR,1659350732
439,baraya,3.1533,-75.0531,69.46,72,58,3.09,CO,1659350732
440,chebenki,51.9337,55.7077,85.78,36,100,11.5,RU,1659350732
441,tahoua,14.8888,5.2692,84.18,61,40,18.41,NE,1659350733
442,hambantota,6.1241,81.1185,77.34,100,75,9.22,LK,1659350733
443,ilhabela,-23.7781,-45.3581,65.16,76,1,3.8,BR,1659350733
444,mutoko,-17.397,32.2268,72.84,21,0,12.37,ZW,1659350733
445,denpasar,-8.65,115.2167,80.26,88,40,12.66,ID,1659350733
446,nishihara,26.1842,127.7558,82.45,86,75,13.8,JP,1659350733
447,launceston,-41.45,147.1667,50.81,84,66,14.97,AU,1659350733
448,armizonskoye,55.9461,67.6736,69.42,68,96,11.12,RU,1659350733
449,awjilah,29.1081,21.2869,97.65,21,0,11.32,LY,1659350733
450,enshi,30.3,109.4833,81.61,78,42,4.63,CN,1659350733
451,mehamn,71.0357,27.8492,60.75,77,75,3.44,NO,1659350734
452,mahibadhoo,3.7833,72.9667,82.0,73,100,19.3,MV,1659350734
453,zhaozhou,45.6833,125.3167,81.36,72,81,6.33,CN,1659350734
454,lermontovka,47.1453,134.3383,71.83,96,55,5.84,RU,1659350734
455,alice springs,-23.7,133.8833,63.95,29,40,6.91,AU,1659350734
456,ostrovnoy,68.0531,39.5131,55.42,95,100,8.16,RU,1659350734
457,awbari,26.5921,12.7805,96.44,14,0,8.16,LY,1659350734
458,luwuk,-0.9516,122.7875,77.11,90,85,3.24,ID,1659350734
459,bogatyye saby,56.0102,50.4483,73.87,51,38,11.16,RU,1659350734
460,lagunas,-5.2269,-75.6753,70.02,97,46,0.85,PE,1659350734
461,saint anthony,45.0205,-93.218,68.25,83,100,17.27,US,1659350734
462,am timan,11.0297,20.2827,72.32,92,100,3.89,TD,1659350734
463,necochea,-38.5473,-58.7368,48.11,85,100,6.89,AR,1659350652
464,olafsvik,64.8945,-23.7142,51.04,68,37,8.08,IS,1659350734
465,uruzgan,32.8333,66.0,91.42,16,2,11.32,AF,1659350735
466,huarmey,-10.0681,-78.1522,60.67,90,49,7.58,PE,1659350735
467,borogontsy,62.6683,131.1683,74.57,70,98,5.03,RU,1659350735
468,okhotsk,59.3833,143.3,57.27,90,80,6.04,RU,1659350735
469,itaituba,-4.2761,-55.9836,74.53,89,99,1.81,BR,1659350735
470,nokaneng,-19.6667,22.2667,84.33,10,0,15.93,BW,1659350735
471,christchurch,-43.5333,172.6333,43.41,81,30,3.44,NZ,1659350735
472,amurzet,47.6967,131.0981,75.06,85,61,4.85,RU,1659350735
473,springfield,37.2153,-93.2982,71.92,94,0,6.91,US,1659350587
474,tual,-5.6667,132.75,79.47,85,91,19.08,ID,1659350735
475,riverbank,37.736,-120.9355,74.52,66,0,6.91,US,1659350735
476,bonavista,48.6499,-53.1147,62.74,78,2,11.7,CA,1659350596
477,stokmarknes,68.5646,14.9108,64.36,77,0,10.36,NO,1659350736
478,kenora,49.8167,-94.4337,54.57,94,40,4.61,CA,1659350736
479,dhekiajuli,26.7,92.5,79.48,86,100,8.72,IN,1659350736
480,boromo,11.75,-2.9333,74.82,87,100,8.81,BF,1659350736
481,umm kaddadah,13.6017,26.6876,83.68,52,98,9.84,SD,1659350736
482,manadhoo,5.7667,73.3833,81.73,72,100,24.05,MV,1659350736
483,beruwala,6.4788,79.9828,77.68,88,100,26.04,LK,1659350613
484,gambela,8.25,34.5833,75.72,83,100,5.12,ET,1659350736
485,saint simons,31.1352,-81.3901,80.64,82,0,8.05,US,1659350736
486,nhamunda,-2.1861,-56.7131,73.62,95,80,2.57,BR,1659350736
487,toora-khem,52.4675,96.11,65.97,67,96,5.48,RU,1659350736
488,pahrump,36.2083,-115.9839,75.25,87,100,1.01,US,1659350736
489,kavieng,-2.5744,150.7967,83.32,78,96,17.29,PG,1659350736
490,novoagansk,61.9449,76.6625,66.33,43,0,15.64,RU,1659350736
491,solhan,38.9634,41.0293,92.82,12,0,13.65,TR,1659350737
492,san cataldo,37.4841,13.9854,87.46,39,0,5.53,IT,1659350737
493,yatou,37.15,122.3833,78.19,95,53,5.99,CN,1659350737
494,yumen,40.2833,97.2,85.33,27,100,0.94,CN,1659350737
495,maldonado,-34.6667,-54.9167,36.79,81,0,3.49,UY,1659350737
496,srednekolymsk,67.45,153.6833,69.44,53,94,9.48,RU,1659350737
497,tezu,27.9167,96.1667,78.13,97,97,0.72,IN,1659350737
498,girua,-28.0283,-54.3497,51.1,75,0,3.31,BR,1659350737
499,zhigansk,66.7697,123.3711,56.98,82,96,17.36,RU,1659350737
500,nowa deba,50.4297,21.7508,71.83,35,91,9.26,PL,1659350737
501,bandarbeyla,9.4942,50.8122,88.14,51,19,29.82,SO,1659350737
502,maua,-23.6678,-46.4614,60.1,97,0,4.85,BR,1659350738
503,bajos de haina,18.4154,-70.0332,75.16,86,66,9.35,DO,1659350738
504,lazaro cardenas,17.9583,-102.2,77.92,85,98,2.93,MX,1659350738
505,glubczyce,50.2009,17.8286,78.82,54,100,3.4,PL,1659350738
506,plouzane,48.3833,-4.6167,66.38,82,100,5.75,FR,1659350738
507,eyl,7.9803,49.8164,89.28,47,52,26.35,SO,1659350738
508,garautha,25.5667,79.3,95.22,42,87,7.81,IN,1659350738
509,nador,35.174,-2.9287,87.87,62,20,6.91,MA,1659350738
510,yuanping,38.7153,112.7575,81.52,57,0,7.99,CN,1659350738
511,palmares do sul,-30.2578,-50.5097,53.02,87,1,4.14,BR,1659350738
512,monrovia,6.3005,-10.7969,74.97,85,100,8.08,LR,1659350738
513,kirakira,-10.4544,161.9205,79.12,85,24,8.46,SB,1659350739
514,hailar,49.2,119.7,78.06,46,42,4.7,CN,1659350739
515,hofn,64.2539,-15.2082,51.82,58,75,6.91,IS,1659350739
516,serra talhada,-7.9919,-38.2983,73.33,66,51,16.87,BR,1659350739
517,ambilobe,-13.2,49.05,88.97,32,16,1.61,MG,1659350739
518,thinadhoo,0.5333,72.9333,81.39,72,70,14.16,MV,1659350739
519,auki,-8.7676,160.7034,77.14,88,29,5.1,SB,1659350739
520,dudinka,69.4058,86.1778,51.62,45,6,20.6,RU,1659350739
521,palanga,55.9175,21.0686,69.82,73,0,6.91,LT,1659350740
522,riviere-au-renard,48.9957,-64.3971,64.69,80,23,1.36,CA,1659350740
523,svetlaya,46.5389,138.3297,63.03,98,100,5.75,RU,1659350740
524,ko samui,9.5357,99.9357,80.51,89,75,5.75,TH,1659350740
525,kahului,20.8947,-156.47,76.84,80,100,12.66,US,1659350740
526,kabanjahe,3.1001,98.4908,67.21,96,100,1.77,ID,1659350740
527,mus,39.0,41.75,89.64,9,0,16.26,TR,1659350579
528,ejea de los caballeros,42.1263,-1.1372,82.62,35,0,7.61,ES,1659350740
529,verkhnyaya inta,65.9811,60.3094,76.68,29,36,11.21,RU,1659350740
530,aykhal,66.0,111.5,53.83,80,99,15.66,RU,1659350596
531,ngunguru,-35.6167,174.5,49.68,79,42,4.68,NZ,1659350740
532,teknaf,20.8624,92.3058,85.3,75,100,6.71,BD,1659350741
533,maragogi,-9.0122,-35.2225,77.29,76,19,12.3,BR,1659350741
534,lalmohan,22.3384,90.7419,87.42,69,100,12.03,BD,1659350741
535,anuradhapura,8.3565,80.4173,79.25,85,99,14.81,LK,1659350664
536,wanaka,-44.7,169.15,41.16,97,100,8.59,NZ,1659350741
537,lavrentiya,65.5833,-171.0,44.02,90,100,5.55,RU,1659350741
538,coquimbo,-29.9533,-71.3436,51.53,93,100,4.61,CL,1659350663
539,lahaina,20.8783,-156.6825,76.8,90,9,9.08,US,1659350741
540,warangal,18.0,79.5833,85.96,70,100,6.51,IN,1659350741
541,saryozek,44.3583,77.9753,81.9,28,100,6.38,KZ,1659350741
542,comodoro rivadavia,-45.8667,-67.5,37.26,56,0,1.14,AR,1659350596
543,semirom,31.4167,51.5667,79.54,27,50,3.94,IR,1659350741
544,port-cartier,50.0334,-66.8654,62.74,85,82,3.98,CA,1659350741
545,hof,50.3167,11.9167,73.45,68,75,9.22,DE,1659350706
546,marataizes,-21.0433,-40.8244,66.9,78,0,3.27,BR,1659350742
547,zuwarah,32.9312,12.082,87.08,54,0,9.33,LY,1659350742
548,faya,18.3851,42.4509,75.31,60,76,10.47,SA,1659350742
